2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
TransGlobe Energy Corporation,TGL.TO,2.24,2.26,2.25,2.26,"82,085","135,114","159,175",N/A,N/A,7.20%,N/A,N/A,"Dec 31, 2015","Dec 11, 2015",1.71,-57.55%,-0.94%,5.84,1.45,2.19,2.50,72200000.0,68760000.0,N/A,N/A,4570000.0,12.70,6.60%,162460000.0,101270000.0,N/A,N/A,0.28,1.16,0.40,0.72,2.30,Dec 31,"Sep 30, 2015",-86.02%,-95.48%,-13.73%,-25.16%,140570000.0,1.89,-63.60%,N/A,43960000.0,-120920000.0,-1.80,N/A,126870000.0,1.76,65680000.00000001,16.08,8.95,5.66,184530000.0,157570000.0,N/A,N/A,May 5 - May 9 (Est.)
Enerflex Ltd.,EFX.TO,10.82,10.98,11.19,11.05,"103,229","168,897","125,450",0.34,3.04%,3.00%,N/A,54.84%,"Apr 7, 2016","Mar 7, 2016",1.17,-33.48%,-0.94%,16.52,9.56,10.38,12.34,79170000.0,78410000.0,0.77%,87.50%,414580.0,1.98,N/A,863710000.0,1280000000.0,18.84,14.95,N/A,0.54,0.77,0.79,6.28,Dec 31,"Dec 31, 2015",2.81%,7.47%,3.50%,4.49%,1630000000.0,20.63,-28.40%,N/A,204530000.0,46590000.0,0.58,N/A,158080000.0,2.00,578640000.0,49.97,1.51,14.59,104170000.0,22850000.0,N/A,N/A,N/A
Franco-Nevada Corporation,FNV.TO,86.79,86.90,85.29,84.86,"647,473","1,026,070","720,000",1.09,1.28%,0.10%,1.28%,531.06%,"Mar 31, 2016","Mar 15, 2016",1.21,41.69%,-0.94%,88.89,49.96,81.67,69.95,177550000.0,153290000.0,N/A,N/A,3240000.0,2.93,N/A,15420000000.0,13030000000.0,241.89,115.79,"10,753.00",30.08,4.13,29.25,39.22,Dec 31,"Sep 30, 2015",12.85%,22.84%,1.86%,1.70%,445300000.0,2.84,-3.60%,N/A,332100000.0,57200000.0,0.36,-54.20%,613900000.0,3.91,0.0,N/A,33.93,20.67,264700000.0,-407520000.0,N/A,N/A,N/A
Interfor Corporation,IFP.TO,12.35,12.46,12.60,12.47,"186,587","372,798","337,762",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.80,-28.02%,-0.94%,21.65,8.67,12.72,12.04,70030000.0,69130000.0,N/A,N/A,1700000.0,4.11,N/A,866980000.0,1320000000.0,N/A,10.15,N/A,0.52,1.22,0.78,15.00,Dec 31,"Dec 31, 2015",-1.80%,-1.25%,-1.07%,-4.46%,1690000000.0,24.28,5.80%,N/A,87950000.0,-30390000.0,-0.44,N/A,16520000.0,0.24,468760000.0,64.63,2.19,10.36,101380000.0,-102790000.0,103:100,"May 9, 1991",N/A
Royal Bank of Canada,RY.TO,77.54,77.58,77.39,77.29,"1,960,552","3,053,350","2,589,600",3.24,4.19%,4.00%,3.86%,46.96%,"May 24, 2016","Apr 21, 2016",0.96,-4.59%,-0.94%,81.44,64.52,73.93,73.10,1490000000.0,1480000000.0,N/A,N/A,38980000.0,12.89,N/A,115290000000.0,-99450000000.0,11.65,10.92,16.46,3.40,1.82,-2.94,N/A,Oct 31,"Jan 31, 2016",29.34%,39.42%,0.88%,15.74%,33799999999.999996,23.25,-4.50%,N/A,N/A,9710000000.0,6.65,-0.30%,455820000000.0,306.85,241190000000.0,N/A,N/A,42.45,-44420000000.0,N/A,2:1,"Mar 23, 2006",May 26 - May 30 (Est.)
KINROSS GOLD CORP.,K.TO,5.45,5.47,5.30,5.34,"5,039,330",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Toronto-Dominion Bank,TD.TO,55.51,55.55,55.75,55.70,"3,915,518","3,155,370","3,146,910",2.20,3.95%,3.70%,3.44%,47.49%,"Apr 30, 2016","Apr 6, 2016",0.80,-1.09%,-0.94%,56.48,47.75,54.93,53.54,1850000000.0,1790000000.0,N/A,N/A,87080000.0,28.29,N/A,102820000000.0,-32140000000.0,12.95,10.98,1.62,3.39,1.55,-1.06,N/A,Oct 31,"Jan 31, 2016",26.50%,35.47%,0.73%,12.19%,30460000000.0,16.45,9.90%,N/A,N/A,7970000000.0,4.29,7.90%,339890000000.0,183.69,204980000000.0,N/A,N/A,35.99,-50620000000.0,N/A,2:1,"Feb 3, 2014",N/A
"Valeant Pharmaceuticals International, Inc.",VRX.TO,41.10,41.44,41.66,42.40,"789,931","1,151,590","1,559,700",N/A,N/A,N/A,N/A,N/A,N/A,"Nov 10, 2010",-0.82,-83.57%,-0.94%,347.84,32.35,57.35,120.42,343100000.0,312760000.0,N/A,N/A,8700000.0,6.00,3.19%,14160000000.0,43610000000.0,23.70,3.43,0.26,1.43,2.25,4.37,8.77,Dec 31,"Sep 30, 2015",6.06%,28.32%,4.68%,10.41%,9980000000.0,29.40,35.50%,N/A,4970000000.0,605100000.0,1.74,-82.00%,1440000000.0,4.18,30880000000.0,477.72,1.50,18.49,2450000000.0,1140000000.0,2:1,"Oct 5, 2000",Apr 27 - May 2 (Est.)
New Flyer Industries Inc.,NFI.TO,37.19,37.30,36.66,36.66,"182,234","241,110","522,188",0.70,1.91%,1.80%,N/A,28.30%,"Apr 15, 2016","Mar 29, 2016",0.09,159.34%,-0.94%,38.56,13.75,31.71,26.38,55800000.0,40090000.0,N/A,N/A,5390000.0,13.61,N/A,2080000000.0,2310000000.0,44.06,16.03,0.48,1.32,4.29,1.50,17.59,Dec 28,"Sep 27, 2015",3.07%,5.99%,5.09%,10.19%,1540000000.0,27.74,1.10%,N/A,131570000.0,47210000.0,0.84,61.60%,6510000.0,0.12,256279999.99999997,54.05,1.44,8.54,44410000.0,47130000.0,1:10,"Oct 5, 2011",May 4 - May 9 (Est.)
ATS Automation Tooling Systems Inc.,ATA.TO,10.84,10.93,10.89,10.81,"65,696","416,579","78,888",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79,-19.73%,-0.94%,16.60,8.29,10.29,11.34,92140000.0,57100000.0,N/A,N/A,6640000.0,28.74,N/A,1000000000.0,1210000000.0,18.66,14.53,1.39,0.93,1.52,1.12,9.84,Mar 31,"Dec 27, 2015",5.02%,9.39%,4.83%,8.57%,1080000000.0,11.76,10.50%,N/A,123190000.0,52070000.0,0.58,82.90%,135980000.0,1.48,344020000.0,52.15,1.88,7.16,47990000.0,31220000.0,2:1,"Dec 8, 1997",N/A
Fortis Inc.,FTS.TO,39.86,39.90,39.54,39.55,"556,714","1,307,820","626,375",1.50,3.79%,3.60%,3.62%,53.86%,"Jun 1, 2016","May 16, 2016",0.11,0.86%,-0.94%,41.58,34.16,39.65,38.40,283050000.0,280820000.0,N/A,N/A,14280000.0,12.05,N/A,11280000000.0,23240000000.0,15.38,16.20,1.31,1.66,1.38,3.46,10.10,Dec 31,"Dec 31, 2015",11.97%,21.24%,3.25%,8.63%,6730000000.0,24.15,0.90%,N/A,2300000000.0,728000000.0,2.59,15.80%,242000000.0,0.86,12250000000.0,118.30,0.70,28.63,1670000000.0,-808380000.0,4:1,"Oct 12, 2005",N/A
Baytex Energy Corp.,BTE.TO,5.58,5.59,5.59,5.41,"6,170,294","7,787,590","6,600,340",N/A,N/A,8.90%,9.29%,N/A,"Sep 15, 2015","Aug 19, 2015",4.88,-76.24%,-0.94%,24.14,1.57,4.87,4.45,210690000.0,207450000.0,1.41%,50.10%,8390000.0,0.36,N/A,1180000000.0,2940000000.0,N/A,N/A,-0.13,1.09,0.43,2.72,3.51,Dec 31,"Sep 30, 2015",-100.34%,-6.14%,-0.67%,-38.91%,1080000000.0,5.76,-56.30%,N/A,836530000.0,-1080000000.0,-5.77,N/A,233000.0,0.00,1760000000.0,64.35,0.65,13.04,897510000.0,73640000.0,N/A,N/A,N/A
Kinaxis Inc.,KXS.TO,45.98,46.00,45.97,46.01,"52,009","130,067","175,788",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.33%,-0.94%,52.29,25.79,39.56,42.57,24480000.0,20880000.0,N/A,N/A,151540.0,1.26,N/A,1130000000.0,1020000000.0,91.98,49.99,N/A,12.31,17.11,11.22,40.34,Dec 31,"Dec 31, 2015",13.89%,26.08%,13.57%,22.59%,91270000.0,3.81,28.50%,N/A,25390000.0,12680000.0,0.50,120.20%,99390000.0,4.07,0.0,N/A,2.56,2.69,45250000.0,20840000.0,N/A,N/A,May 4 - May 9 (Est.)
Canfor Corp.,CFP.TO,15.20,15.28,15.43,15.42,"180,465","349,913","284,412",N/A,N/A,N/A,N/A,N/A,N/A,"Jun 11, 2003",1.24,-36.32%,-0.94%,28.57,12.40,16.14,17.07,132800000.00000001,73500000.0,N/A,N/A,4670000.0,15.47,N/A,2020000000.0,2540000000.0,82.72,8.50,N/A,0.52,1.54,0.65,6.78,Dec 31,"Dec 31, 2015",0.63%,4.08%,3.26%,5.63%,3930000000.0,29.28,22.40%,N/A,374100000.0,24700000.0,0.18,-94.60%,97500000.0,0.73,614200000.0,37.73,1.56,10.02,254600000.0,32830000.0,2:1,"May 10, 1994",N/A
Parkland Fuel Corporation,PKI.TO,22.18,22.25,21.97,21.71,"88,469","222,263","231,175",1.13,5.16%,4.90%,6.11%,255.82%,"May 13, 2016","Feb 18, 2016",0.52,-15.66%,-0.94%,26.94,18.26,21.44,22.22,94420000.0,90080000.0,0.96%,96.80%,1110000.0,4.17,N/A,2100000000.0,2470000000.0,54.93,21.54,24.69,0.31,2.65,0.39,15.09,Dec 31,"Sep 30, 2015",0.53%,1.31%,3.21%,5.50%,6380000000.0,75.75,-1.90%,N/A,163960000.0,34040000.0,0.40,39.80%,29630000.0,0.33,483800000.0,64.27,1.16,8.29,234570000.0,226580000.0,3:1,"May 23, 2007",May 3 - May 9 (Est.)
"Gran Tierra Energy, Inc.",GTE.TO,3.25,3.29,3.32,3.28,"370,473","1,194,820","1,602,520",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.43,-21.69%,-0.94%,4.80,2.48,3.39,3.17,283160000.0,232570000.0,3.35%,64.60%,7030000.0,7.16,2.37%,920270000.0,768680000.0,N/A,N/A,-0.15,3.39,0.94,2.77,6.13,Dec 31,"Dec 31, 2015",-96.63%,-18.35%,-2.22%,-23.53%,277380000.0,0.97,-44.80%,N/A,125490000.0,-268029999.99999997,-0.94,N/A,151590000.0,0.54,0.0,N/A,3.17,3.54,62310000.0,-120530000.0,N/A,N/A,N/A
Extendicare Inc.,EXE.TO,9.10,9.15,9.24,9.24,"76,238","187,329","110,062",0.48,5.19%,5.20%,8.55%,184.62%,"Apr 15, 2016","Mar 29, 2016",1.08,17.70%,-0.94%,9.95,6.94,9.36,9.04,88090000.0,86000000.0,N/A,N/A,2220000.0,10.85,N/A,802530000.0,1070000000.0000001,3.58,13.40,-2.99,0.88,4.72,1.16,12.36,Dec 31,"Sep 30, 2015",25.04%,6.52%,2.56%,21.05%,921590000.0,10.49,26.70%,N/A,86400000.0,17320000.0,2.55,N/A,190820000.0,2.17,458590000.0,266.94,1.47,1.96,22070000.0,56620000.0,N/A,N/A,N/A
WestJet Airlines Ltd.,WJA.TO,21.50,21.59,21.57,21.41,"265,137","441,141","240,812",0.56,3.72%,2.60%,1.54%,19.19%,"Mar 31, 2016","Dec 14, 2015",0.22,-20.61%,-0.94%,28.92,14.67,19.66,20.47,123090000.0,122220000.0,N/A,N/A,2000000.0,4.68,N/A,2650000000.0,2610000000.0,7.36,8.78,-0.34,0.66,1.35,0.65,3.17,Dec 31,"Dec 31, 2015",9.12%,14.13%,7.28%,19.67%,4030000000.0000005,32.20,-3.60%,N/A,822750000.0,367530000.0,2.92,-30.10%,1220000000.0,9.95,1190000000.0,60.60,0.97,15.92,876440000.0,79560000.0,3:2,"May 5, 2004",N/A
AGF Management Limited,AGF-B.TO,5.15,5.18,5.14,5.17,"84,580","211,462","127,120",0.32,6.23%,6.20%,9.13%,58.43%,"Apr 18, 2016","Apr 6, 2016",1.31,-32.73%,-0.94%,7.97,3.78,5.00,4.95,79680000.0,60290000.0,N/A,N/A,7320000.0,21.42,N/A,413020000.0,610650000.0,8.99,N/A,N/A,0.91,0.45,1.36,6.64,Nov 30,"Nov 30, 2015",10.68%,18.33%,3.50%,5.25%,449600000.0,5.46,N/A,N/A,91990000.0,48330000.0,0.58,N/A,72100000.0,0.91,270550000.0,29.70,1.55,11.41,52130000.0,99790000.0,2:1,"Aug 25, 2000",N/A
"Manitoba Telecom Services, Inc.",MBT.TO,32.52,32.53,32.31,32.25,"195,941","492,364","200,450",1.30,4.02%,4.00%,5.41%,181.82%,"Apr 15, 2016","Mar 29, 2016",-0.19,27.68%,-0.94%,33.97,24.75,32.60,30.45,78250000.0,79030000.0,N/A,N/A,3590000.0,5.78,N/A,2540000000.0,3690000000.0,N/A,20.98,19.65,2.57,2.44,3.71,11.80,Dec 31,"Dec 31, 2015",-2.45%,17.21%,3.99%,5.80%,995200000.0,12.61,N/A,N/A,312500000.0,60900000.0,-0.31,N/A,N/A,N/A,1110000000.0,105.83,0.87,13.22,115300000.0,-360520000.0,N/A,N/A,N/A
Agnico Eagle Mines Limited,AEM.TO,51.91,51.95,50.83,51.01,"600,670","1,063,260","781,425",0.42,0.84%,0.80%,1.61%,282.60%,"Mar 15, 2016","Feb 26, 2016",1.57,40.91%,-0.94%,53.06,27.63,48.19,41.22,217650000.0,217150000.0,N/A,N/A,2990000.0,2.15,0.94%,11300000000.0,12280000000.0,472.18,91.12,6.63,5.57,2.67,6.19,16.14,Dec 31,"Dec 31, 2015",1.24%,7.69%,1.41%,0.60%,1990000000.0,9.19,-4.00%,N/A,761200000.0,24580000.0,0.11,N/A,163460000.0,0.75,1140000000.0,27.58,2.66,19.03,616240000.0,279630000.0,N/A,N/A,N/A
SNC-Lavalin Group Inc.,SNC.TO,46.45,46.49,46.34,46.22,"144,955","373,668","184,188",1.04,2.24%,2.20%,2.05%,37.34%,"Mar 31, 2016","Mar 15, 2016",0.80,6.83%,-0.94%,48.36,35.89,46.29,42.33,149840000.0,149540000.0,N/A,N/A,1920000.0,3.58,N/A,6960000000.0,5870000000.0,4.69,20.74,0.51,0.71,1.86,0.60,12.82,Dec 31,"Sep 30, 2015",15.39%,2.70%,1.24%,51.38%,9760000000.0,64.37,21.40%,N/A,458140000.0,1500000000.0,9.91,273.40%,2450000000.0,16.34,1360000000.0,36.27,1.01,24.96,-323520000.0,2069999999.9999998,3:1,"Mar 8, 2006",N/A
Endeavour Silver Corp.,EDR.TO,3.89,3.92,3.75,3.75,"117,577","191,644","218,188",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.04,66.81%,-0.94%,4.07,1.46,3.22,2.32,106390000.0,100530000.0,6.44%,90.80%,343590.0,0.22,N/A,417060000.0,399100000.0,N/A,N/A,-0.17,2.01,2.06,2.10,8.64,Dec 31,"Sep 30, 2015",-42.36%,-41.09%,-16.19%,-36.41%,190240000.0,1.87,5.60%,N/A,46210000.0,-80590000.0,-0.80,N/A,23570000.0,0.23,22930000.0,12.35,1.50,1.82,38150000.0,55950000.0,1:4,"Aug 27, 2002",N/A
Dundee Precious Metals Inc.,DPM.TO,2.37,2.41,2.33,2.33,"130,658","366,443","368,325",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.90,-15.73%,-0.94%,3.05,0.84,1.96,1.57,140580000.0,87110000.0,26.00%,56.00%,5370000.0,12.18,N/A,338790000.0,475090000.0,N/A,40.17,-0.13,1.26,0.51,1.83,6.02,Dec 31,"Dec 31, 2015",-18.06%,-6.93%,-1.19%,-7.16%,260130000.0,1.85,-27.80%,N/A,78870000.0,-46990000.0,-0.33,N/A,26570000.0,0.19,162870000.0,25.52,1.47,4.54,87710000.0,37830000.0,5:1,"Apr 21, 2004",N/A
Finning International Inc.,FTT.TO,21.34,21.47,21.28,21.19,"451,139","751,873","448,762",0.73,3.43%,3.40%,2.50%,N/A,"Mar 17, 2016","Mar 1, 2016",1.81,-13.16%,-0.94%,25.75,16.37,19.34,19.04,168030000.0,167360000.0,70.46%,9.40%,4090000.0,5.64,N/A,3590000000.0,4790000000.0,N/A,14.74,1.78,0.58,1.74,0.78,8.24,Dec 31,"Dec 31, 2015",-2.60%,5.90%,4.39%,-7.70%,6190000000.0,36.17,-15.80%,N/A,582000000.0,-161000000.0,-0.94,N/A,498000000.0,2.96,1700000000.0,82.93,2.78,12.20,379000000.0,161750000.0,2:1,"May 28, 2007",N/A
Intertape Polymer Group Inc.,ITP.TO,18.62,18.68,18.70,18.70,"91,036","138,971","132,525",0.68,3.61%,3.60%,N/A,53.92%,"Mar 31, 2016","Mar 17, 2016",0.76,8.67%,-0.94%,20.31,13.67,18.11,17.02,58540000.0,52500000.0,N/A,N/A,83450.0,1.31,0.51%,1090000000.0,1240000000.0,25.28,16.98,2.97,1.39,5.29,1.58,13.22,Dec 31,"Sep 30, 2015",5.75%,8.52%,8.70%,20.39%,786980000.0,13.09,-4.10%,N/A,93820000.0,45240000.0,0.74,160.40%,14080000.0,0.24,159150000.0,76.41,2.95,3.54,94200000.0,42080000.0,2:1,"May 31, 1996",May 10 - May 16 (Est.)
Boyd Group Income Fund,BYD-UN.TO,73.76,74.18,70.39,70.39,"81,546","28,700","12,486",0.50,0.72%,0.70%,2.53%,N/A,"Apr 27, 2016","Mar 29, 2016",0.30,36.02%,-0.94%,74.02,36.45,53.97,50.87,18030000.0,16360000.0,N/A,N/A,213260.0,4.03,N/A,1350000000.0,1350000000.0,N/A,22.33,14.82,1.09,6.71,1.22,14.68,Dec 31,"Sep 30, 2015",-2.73%,6.15%,7.92%,-18.88%,1100000000.0,67.28,38.10%,N/A,91790000.0,-30060000.0,-1.84,N/A,61100000.0,3.59,150700000.0,84.40,0.96,10.49,62010000.0,95840000.0,1:4,"Feb 28, 2003",N/A
Fortuna Silver Mines Inc.,FVI.TO,6.30,6.34,6.12,6.15,"481,684","448,643","334,662",0.29,1.30%,N/A,N/A,N/A,N/A,N/A,2.60,43.64%,-0.94%,6.43,2.65,5.24,3.95,129250000.0,128050000.00000001,N/A,N/A,164030.0,0.42,N/A,816860000.0,747080000.0,126.40,27.48,N/A,5.08,2.82,4.80,14.94,Dec 31,"Sep 30, 2015",4.33%,15.84%,4.16%,2.46%,155540000.0,1.21,-15.80%,34.00M,50020000.0,6740000.0,0.05,-66.90%,109880000.0,0.85,41170000.0,14.67,4.78,2.17,40900000.0,4830000.0,5:4,"Feb 3, 1999",May 6 - May 10 (Est.)
"Seabridge Gold, Inc.",SEA.TO,17.99,18.05,17.93,18.00,"106,331","154,192","180,112",0.65,2.30%,N/A,N/A,N/A,N/A,N/A,2.29,132.43%,-0.94%,19.93,4.34,15.14,11.62,52140000.0,42780000.0,N/A,N/A,2240000.0,14.74,1.77%,937990000.0,926690000.0,N/A,N/A,N/A,N/A,3.36,NaN,-97.80,Dec 31,"Sep 30, 2015",N/A,N/A,-2.16%,-4.03%,N/A,N/A,N/A,N/A,-9480000.0,-10660000.0,-0.22,N/A,10460000.0,0.20,0.0,N/A,2.75,5.34,-7700000.0,-26760000.0,1:10,"May 20, 1998",May 12 - May 16 (Est.)
Trinidad Drilling Ltd.,TDG.TO,1.91,1.96,1.94,1.90,"356,357","917,827","713,738",0.04,2.06%,5.70%,3.65%,N/A,"Jan 15, 2016","Dec 29, 2015",2.49,-63.30%,-0.94%,5.53,1.41,1.74,1.96,222090000.0,217080000.0,N/A,N/A,3610000.0,1.50,N/A,435290000.0,1090000000.0,N/A,N/A,-3.40,0.62,0.30,1.58,5.41,Dec 31,"Sep 30, 2015",-13.09%,14.15%,2.80%,-6.95%,690240000.0,4.70,-49.20%,N/A,201540000.0,-90380000.0,-0.62,N/A,24730000.0,0.11,680140000.0,46.78,1.74,6.47,114770000.0,-50880000.0,N/A,N/A,N/A
Corus Entertainment Inc.,CJR-B.TO,11.79,11.90,11.95,11.99,"189,331","501,639","284,537",1.14,9.54%,7.10%,5.02%,64.99%,"Apr 29, 2016","Apr 13, 2016",0.63,-32.59%,-0.94%,18.65,8.74,11.20,11.16,117460000.0,76980000.0,N/A,N/A,4490000.0,13.40,N/A,1430000000.0,1780000000.0,N/A,8.39,-2.88,1.28,0.85,2.18,6.35,Aug 31,"Nov 30, 2015",-4.38%,30.68%,5.37%,-2.31%,816520000.0,9.41,0.50%,N/A,279790000.0,-35740000.0,-0.41,-20.40%,42170000.0,0.48,781520000.0,63.13,0.94,13.98,212430000.0,276220000.0,2:1,"Jan 30, 2008",N/A
DHX MEDIA LTD CLASS B,DHX-B.TO,7.24,7.29,7.29,7.25,"149,072",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CGI Group Inc.,GIB-A.TO,63.26,63.28,63.11,63.42,"794,168","611,992","499,900",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46,37.87%,-0.94%,63.62,36.35,51.13,51.84,266820000.0,243500000.0,N/A,N/A,11380000.0,17.45,N/A,18960000000.0,21240000000.0,20.75,16.74,1.89,1.88,3.04,2.04,11.85,Sep 30,"Dec 31, 2015",9.39%,14.45%,8.08%,16.80%,10430000000.0,33.58,5.60%,N/A,1790000000.0,979010000.0,3.05,0.60%,552350000.0,1.78,2180000000.0,33.83,1.02,20.77,1280000000.0,950760000.0,2:1,"Jan 5, 2000",N/A
Capital Power Corporation,CPX.TO,17.74,17.85,17.89,17.83,"187,993","272,298","169,875",1.46,8.16%,8.00%,5.70%,202.86%,"Apr 29, 2016","Mar 29, 2016",0.69,-27.74%,-0.94%,25.58,15.41,17.93,17.99,96190000.0,86500000.0,N/A,N/A,1790000.0,6.33,N/A,1710000000.0,3270000000.0,25.60,17.27,1.40,1.38,0.76,2.62,7.13,Dec 31,"Dec 31, 2015",7.19%,19.82%,2.87%,2.96%,1250000000.0,12.98,-21.10%,N/A,459000000.0,67000000.0,0.70,-10.30%,85000000.0,0.88,1650000000.0,58.52,0.92,23.46,419000000.0,99880000.0,N/A,N/A,N/A
Agrium Inc.,AGU.TO,107.40,107.43,107.02,106.67,"491,681","392,086","378,112",4.55,4.25%,4.30%,1.90%,48.78%,"Apr 21, 2016","Mar 29, 2016",0.57,-15.92%,-0.94%,139.99,104.70,116.18,121.64,138170000.0,138060000.0,0.10%,68.10%,1760000.0,2.89,N/A,14840000000.0,19540000000.0,15.44,15.48,1.60,1.00,2.46,1.32,9.30,Dec 31,"Dec 31, 2015",6.68%,10.95%,6.05%,15.57%,14800000000.0,104.19,-11.00%,N/A,2100000000.0,988000000.0,6.96,327.70%,659000000.0,4.77,5360000000.0,89.16,1.36,43.50,1660000000.0,337380000.0,3:1,"Jan 8, 1996",N/A
Aecon Group Inc.,ARE.TO,16.96,17.04,16.79,16.69,"199,085","301,208","254,212",0.46,2.74%,2.50%,2.22%,11.75%,"Apr 1, 2016","Mar 18, 2016",1.14,27.57%,-0.94%,17.25,10.25,15.81,14.77,57220000.0,54510000.0,1.23%,96.40%,2930000.0,6.54,N/A,971600000.0,1370000000.0,20.19,15.58,11.28,0.34,1.36,0.50,10.68,Dec 31,"Sep 30, 2015",1.79%,2.18%,1.84%,7.53%,2770000000.0,49.20,4.10%,N/A,128600000.0,49600000.0,0.84,-35.30%,136370000.0,2.42,550440000.0,79.00,1.38,12.34,42990000.0,-253860000.0,N/A,N/A,N/A
Stantec Inc.,STN.TO,33.21,33.26,32.43,32.47,"897,240","334,236","556,500",0.42,1.30%,1.30%,N/A,25.41%,"Apr 14, 2016","Dec 29, 2015",1.33,3.01%,-0.94%,38.09,27.99,31.30,32.43,93880000.0,92860000.0,N/A,N/A,1400000.0,9.34,N/A,3120000000.0,3390000000.0,20.13,14.57,1.44,1.28,2.31,1.43,11.61,Dec 31,"Dec 31, 2015",6.59%,9.31%,6.42%,12.98%,2370000000.0,25.21,9.20%,N/A,291820000.0,156380000.0,1.65,-33.50%,94450000.0,1.01,365360000.0,27.61,1.51,14.01,205520000.0,61910000.0,2:1,"Nov 17, 2014",N/A
Empire Company Limited,EMP-A.TO,20.41,20.50,20.34,20.34,"264,589","433,745","511,283",0.40,1.97%,2.10%,1.42%,N/A,"Apr 29, 2016","Apr 13, 2016",-0.36,-76.99%,-0.94%,93.44,20.14,23.04,25.35,173540000.0,86470000.0,N/A,N/A,1340000.0,1.97,N/A,5560000000.0,7720000000.0,15.94,N/A,N/A,0.23,0.92,0.32,6.30,May 2,"Oct 31, 2015",1.48%,3.27%,4.15%,6.25%,24120000000.0,87.22,0.90%,N/A,1220000000.0,356300000.0,1.28,-41.40%,304000000.0,1.12,2460000000.0,40.64,0.88,22.09,1050000000.0,662310000.0,2:1,"Oct 3, 2002",N/A
CI Financial Corp,CIX.TO,29.01,29.10,28.66,28.61,"356,836","601,916","343,050",1.32,4.61%,4.60%,3.72%,65.63%,"Apr 15, 2016","Apr 27, 2016",0.81,-17.66%,-0.94%,36.25,25.76,28.88,30.05,275750000.0,240480000.0,N/A,N/A,1240000.0,1.97,N/A,8010000000.0,8430000000.0,14.67,13.14,2.05,3.97,4.18,4.24,10.69,Dec 31,"Dec 31, 2015",27.81%,38.87%,15.32%,29.06%,1990000000.0,7.14,2.80%,N/A,788670000.0,553490000.0,1.98,-9.50%,135300000.0,0.49,559350000.0,29.49,0.98,6.86,647440000.0,602950000.0,2:1,"Nov 3, 2000",N/A
Shopify Inc.,SH.TO,39.59,39.89,39.78,39.78,"28,433","58,352","35,475",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.94%,53.50,25.85,35.75,36.13,80340000.0,35570000.0,N/A,N/A,N/A,N/A,N/A,3200000000.0,3010000000.0,N/A,N/A,N/A,15.57,16.31,14.66,-250.06,Dec 31,"Dec 31, 2015",-9.15%,-8.65%,-6.55%,-14.29%,205230000.0,3.33,99.50%,N/A,-12030000.0,-18790000.0,-0.30,N/A,191560000.0,2.38,0.0,N/A,5.44,2.44,15760000.0,-1630000.0,N/A,N/A,N/A
